都道府県コード,都道府県名,市区町村コード,市区町村名,大字町丁目コード,大字町丁目名,経度,緯度,原典資料コード,大字・字・丁目区分コード
16,富山県,16201,富山市,1.6201E+11,犬島六丁目,137.233503,36.733273,0,3
16,富山県,16201,富山市,1.6201E+11,犬島七丁目,137.23418,36.732512,0,3
16,富山県,16201,富山市,1.6201E+11,犬島新町一丁目,137.22817,36.736304,0,3
16,富山県,16201,富山市,1.6201E+11,犬島新町二丁目,137.229326,36.734981,0,3
16,富山県,16201,富山市,1.6201E+11,猪谷,137.220638,36.467163,0,1
16,富山県,16201,富山市,1.6201E+11,今泉,137.21373,36.669113,0,1
16,富山県,16201,富山市,1.6201E+11,今泉西部町,137.209465,36.671312,0,1
16,富山県,16201,富山市,1.6201E+11,今泉北部町,137.212058,36.67274,0,1
16,富山県,16201,富山市,1.6201E+11,今市,137.198298,36.746946,0,1
16,富山県,16201,富山市,1.6201E+11,今木町,137.2172,36.695282,0,1
16,富山県,16201,富山市,1.6201E+11,今生津,137.246885,36.532044,0,1
16,富山県,16201,富山市,1.6201E+11,岩稲,137.222872,36.548773,0,1
16,富山県,16201,富山市,1.6201E+11,岩木,137.18336,36.580378,0,1
16,富山県,16201,富山市,1.6201E+11,岩木新,137.186564,36.580338,0,1
16,富山県,16201,富山市,1.6201E+11,岩瀬赤田町,137.235056,36.753216,0,1
16,富山県,16201,富山市,1.6201E+11,岩瀬天池町,137.240141,36.759824,0,1
16,富山県,16201,富山市,1.6201E+11,岩瀬池田町,137.236135,36.756616,0,1
16,富山県,16201,富山市,1.6201E+11,岩瀬入船町,137.229195,36.760422,0,1
16,富山県,16201,富山市,1.6201E+11,岩瀬梅本町,137.230556,36.758378,0,1
16,富山県,16201,富山市,1.6201E+11,岩瀬御蔵町,137.23035,36.753443,0,1
16,富山県,16201,富山市,1.6201E+11,岩瀬表町,137.230465,36.756527,0,1
16,富山県,16201,富山市,1.6201E+11,岩瀬古志町,137.236702,36.761358,0,1
16,富山県,16201,富山市,1.6201E+11,岩瀬諏訪町,137.230258,36.762956,0,1
16,富山県,16201,富山市,1.6201E+11,岩瀬高畠町,137.232526,36.751219,0,1
