都道府県コード,都道府県名,市区町村コード,市区町村名,大字町丁目コード,大字町丁目名,緯度,経度,原典資料コード,大字・字・丁目区分コード
14,神奈川県,14101,横浜市鶴見区,1.41E+11,本町通一丁目,35.502643,139.680165,0,3
14,神奈川県,14101,横浜市鶴見区,1.41E+11,潮田町一丁目,35.504476,139.682396,0,3
14,神奈川県,14101,横浜市鶴見区,1.41E+11,寛政町,35.501344,139.701084,0,1
14,神奈川県,14101,横浜市鶴見区,1.41E+11,潮田町四丁目,35.503095,139.692805,0,3
14,神奈川県,14101,横浜市鶴見区,1.41E+11,東寺尾東台,35.503422,139.663808,0,1
14,神奈川県,14101,横浜市鶴見区,1.41E+11,大東町,35.504357,139.695019,0,1
14,神奈川県,14101,横浜市鶴見区,1.41E+11,東寺尾一丁目,35.502661,139.649168,0,3
14,神奈川県,14101,横浜市鶴見区,1.41E+11,岸谷三丁目,35.501048,139.665078,0,3
14,神奈川県,14101,横浜市鶴見区,1.41E+11,朝日町一丁目,35.501881,139.696857,0,3
14,神奈川県,14101,横浜市鶴見区,1.41E+11,朝日町二丁目,35.504774,139.697549,0,3
14,神奈川県,14101,横浜市鶴見区,1.41E+11,潮田町三丁目,35.50356,139.689783,0,3
14,神奈川県,14101,横浜市鶴見区,1.41E+11,本町通二丁目,35.502055,139.682785,0,3
14,神奈川県,14101,横浜市鶴見区,1.41E+11,潮田町二丁目,35.50356,139.686235,0,3
14,神奈川県,14101,横浜市鶴見区,1.41E+11,鶴見中央五丁目,35.503005,139.676643,0,3
14,神奈川県,14101,横浜市鶴見区,1.41E+11,鶴見一丁目,35.502499,139.671085,0,3
14,神奈川県,14101,横浜市鶴見区,1.41E+11,東寺尾五丁目,35.502196,139.659368,0,3
14,神奈川県,14101,横浜市鶴見区,1.41E+11,東寺尾二丁目,35.503178,139.65484,0,3
14,神奈川県,14101,横浜市鶴見区,1.41E+11,馬場一丁目,35.505816,139.644697,0,3
14,神奈川県,14101,横浜市鶴見区,1.41E+11,東寺尾六丁目,35.50741,139.660616,0,3
14,神奈川県,14101,横浜市鶴見区,1.41E+11,大黒ふ頭,35.459952,139.680534,0,1
14,神奈川県,14101,横浜市鶴見区,1.41E+11,大黒町,35.480481,139.675908,0,1
14,神奈川県,14101,横浜市鶴見区,1.41E+11,末広町一丁目,35.487313,139.684437,0,3
14,神奈川県,14101,横浜市鶴見区,1.41E+11,扇島,35.476231,139.711816,0,1
14,神奈川県,14101,横浜市鶴見区,1.41E+11,安善町一丁目,35.497379,139.702062,0,3
14,神奈川県,14101,横浜市鶴見区,1.41E+11,浜町一丁目,35.501488,139.693487,0,3
14,神奈川県,14101,横浜市鶴見区,1.41E+11,仲通三丁目,35.500685,139.691285,0,3
14,神奈川県,14101,横浜市鶴見区,1.41E+11,仲通二丁目,35.501387,139.689134,0,3
14,神奈川県,14101,横浜市鶴見区,1.41E+11,仲通一丁目,35.50168,139.686566,0,3
14,神奈川県,14101,横浜市鶴見区,1.41E+11,下野谷町二丁目,35.4996,139.680956,0,3
14,神奈川県,14101,横浜市鶴見区,1.41E+11,本町通四丁目,35.500073,139.685244,0,3
14,神奈川県,14101,横浜市鶴見区,1.41E+11,本町通三丁目,35.501562,139.684279,0,3
14,神奈川県,14101,横浜市鶴見区,1.41E+11,汐入町一丁目,35.498289,139.68619,0,3
14,神奈川県,14101,横浜市鶴見区,1.41E+11,汐入町二丁目,35.499259,139.688324,0,3
14,神奈川県,14101,横浜市鶴見区,1.41E+11,汐入町三丁目,35.4995,139.690588,0,3
14,神奈川県,14101,横浜市鶴見区,1.41E+11,下野谷町一丁目,35.500649,139.679238,0,3
